model_name,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,negative_precision,negative_recall,negative_f1
Logistic Regression,0.955,0.9578258747336216,0.9515726043503822,0.9543252187636174,0.9548570469561531,0.9411764705882353,0.9876543209876543,0.963855421686747
LinearSVC,0.98,0.9843137254901961,0.9775132275132276,0.9805309213393162,0.9800694096032223,0.9529411764705882,1.0,0.9759036144578314
Multinomial Naive Bayes,0.915,0.9223106533499791,0.9052763080540859,0.911303837774426,0.9142533936651582,0.898876404494382,0.9876543209876543,0.9411764705882353
